variante,version,n,minLower,minUpper,minDigit,minSymbol,nodosGenerados,nodosVisitados,nodosPodados,contraseñasGeneradas,tiempoMs
v_sin_restricciones_n6,conPoda,6,0,0,0,0,588668443,-702197442,1290865885,-1993063328,3.11164e+06
ii_n6_politica_completa,conPoda,6,3,2,2,1,1,0,1,0,0
ii_n6_politica_completa,sinPoda,6,3,2,2,1,1634650501,,,0,968984
v_sin_restricciones_n6,sinPoda,6,0,0,0,0,1634650501,,,-1993063328,3.52944e+06
serie_n4,conPoda,4,1,1,1,1,5327841,890720,4437121,811200,107
serie_n4,sinPoda,4,1,1,1,1,20456441,,,811200,218
serie_n5,conPoda,5,1,1,1,1,634181265,142096592,492084673,132631200,9721
serie_n5,sinPoda,5,1,1,1,1,1370581548,,,132631200,16712
serie_n6,conPoda,6,1,1,1,1,-882992959,-1877748320,994755361,1597046112,949105
serie_n6,sinPoda,6,1,1,1,1,1634650501,,,1597046112,1.33087e+06
